ID,First_Name,Last_Name,Wilaya,City,Email,Password,Phone Number,Sexe,Speciality,Location_Link
ID001,Farid,Zoubir,Alger,Alger Centre,zoubirfarid@gmail.com,VqRzE749,05 51 02 48 37,M,Neurology,https://maps.app.goo.gl/Alger-Rouïba-Sarah
ID002,Lila,Meghraoui,Alger,Bab El Oued,meghraouilila@gmail.com,AsXyP910,07 92 55 11 04,F,Gastroenterology,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Oran-Arzew-Sofiane
ID003,Malik,Haddad,Alger,Hussein Dey,haddadmalik@gmail.com,GtJkL283,06 44 88 23 59,M,Ophthalmology,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Oran-EsSenia-Amel
ID004,Amira,Chouiter,Alger,Bir Mourad Raïs,chouiteramira@gmail.com,DnQbV601,05 20 73 94 18,F,Cardiology,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Alger-Cheraga-Salim
ID005,Khaled,Belkacem,Alger,El Harrach,belkacemkhaled@gmail.com,BwSfC332,07 70 61 52 93,M,Dentist,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Alger-DarElBeida-Faiza
ID006,Samia,Kerrouche,Alger,Baraki,kerrouchesamia@gmail.com,MjTkG847,06 93 40 17 65,F,General Practice,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Boumerdes-Dellys-Yacine
ID007,Rami,Abdelaziz,Alger,Oued Smar,abdelazizrami@gmail.com,FzLcO516,05 55 28 91 70,M,Pediatrics,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Boumerdes-BordjMenai-Meriem
ID008,Nawal,Bendali,Alger,Birkhadem,bendarinawal@gmail.com,HxVyR098,07 81 35 69 22,F,Gynecology/Obstetrics,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Tlemcen-Tlemcen-Nabil
ID009,Yassine,Ghezali,Alger,Dar El Beïda,ghezaliyassine@gmail.com,PlQxW463,06 18 77 03 45,M,Orthopedics,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Tlemcen-Chetouane-Chahinez
ID010,Warda,Hamdi,Alger,Rouiba,hamdiwarda@gmail.com,TkNlM125,05 94 62 80 71,F,Dermatology,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Alger-Birkhadem-Samira
ID011,Mounir,Taleb,Alger,Reghaïa,taleb mounir@gmail.com,SpBzJ734,07 77 19 43 06,M,Neurology,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Oran-BirElDjir-Kamel
ID012,Sonia,Lounis,Alger,Aïn Taya,lounissonia@gmail.com,QjCxH957,06 32 50 88 14,F,Gastroenterology,https://www.google.com/search?q=https://maps.app.goo.gl/Alger-Rouiba-Sarah
ID013,Karim,Ziani,Alger,Kouba,zianikarim@gmail.com,LvTrK628,05 60 97 12 33,M,Ophthalmology,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Oran-Oran-Hakim
ID014,Fella,Harrat,Alger,Mohammadia,harratfella@gmail.com,CwYtD882,07 90 26 47 51,F,Cardiology,https://www.google.com/url?sa=E&source=gmail&q=https://maps.app.goo.gl/Boumerdes-Boumerdes-Lina
